dataset,attribute,baseline_mean,pre_rollback_mean,p2_mean,p2_std,seeds_negative,n
adult,race,0.1981566820276498,0.2561663143058492,-0.058009632278199386,0.0,3,3
adult,sex,0.23928961896149126,0.31618732590529247,-0.07689770694380121,0.0,3,3
compas,race,0.3593006544833078,0.3478341216079648,0.011466532875342994,0.0,0,3
compas,sex,0.10725778422914156,0.16904107838752958,-0.061783294158388014,0.0,3,3
